Parameter,Value,BinaryLength,Valid?
vbg,7,5,TRUE
vbg_tc,16,5,TRUE
iref,18,5,TRUE
osc_core_output,12,6,TRUE
chopping_freq,6,3,TRUE
R1R2_k,0,1,TRUE
R1_dac3,0,4,TRUE
R2_dac3,0,4,TRUE
R1_dac2,0,5,TRUE
R2_dac2,0,5,TRUE
R1_dac1,0,5,TRUE
R2_dac1,0,5,TRUE
R1_dac0,0,5,TRUE
R2_dac0,0,5,TRUE
Prog_done,0,1,TRUE
testmode,0,8,TRUE
efuse_prog_enable,0,1,TRUE
efuse_reload,0,1,TRUE
pwr_5v_enable,0,1,TRUE
reg00,160,8,10100000
reg01,103,8,01100111
reg02,0,8,00000000
reg03,0,8,00000000
reg04,0,8,00000000
reg05,0,8,00000000
reg06,0,8,00000000
reg07,99,8,01100011
regf2,0,8,00000000
