Test started at 2026-07-29 09:45:40.589254,,,,,,,,,,,,
,,,,,,,,,,,,
Running at a PLC of 1,,,,,,,,,,,,
DMM2 at voltage range of 0.1V from here -,,,,,,,,,,,,
diff1, diff2, diff3, r11, r12, r21, r22, r31, r32,,,,
-3.70E-07,4.69E-08,-2.32E-07,-2.59E-06,-2.22E-06,-8.84E-06,-8.89E-06,6.76E-05,6.79E-05,Average,0.0000%,0.0000%,0.0012%
3.38E-07,-3.95E-08,-2.76E-05,-2.42E-06,-2.76E-06,-9.09E-06,-9.05E-06,4.05E-05,6.81E-05,Max,0.0001%,0.0001%,0.0171%
-3.98E-07,1.80E-07,-3.01E-05,-2.66E-06,-2.26E-06,-8.83E-06,-9.01E-06,-4.28E-05,-1.27E-05,Min,-0.0001%,-0.0001%,-0.0161%
-4.34E-07,3.70E-07,4.86E-06,-2.74E-06,-2.30E-06,-9.10E-06,-9.47E-06,-3.03E-05,-3.52E-05,Spread,0.0001%,0.0001%,0.0333%
3.95E-07,3.11E-07,-0.000125763,-2.69E-06,-3.08E-06,-9.08E-06,-9.40E-06,-0.000128311,-2.55E-06,,,,
-2.21E-07,-9.99E-08,0.000163747,-2.85E-06,-2.63E-06,-9.53E-06,-9.43E-06,0.000125763,-3.80E-05,,,,
3.48E-07,1.15E-07,-3.78E-05,-2.58E-06,-2.93E-06,-9.58E-06,-9.70E-06,-7.64E-06,3.01E-05,,,,
-9.12E-08,4.28E-08,0.000171158,-2.48E-06,-2.39E-06,-9.22E-06,-9.26E-06,2.32E-06,-0.000168842,,,,
-5.65E-07,2.71E-07,5.54E-05,-2.80E-06,-2.24E-06,-9.43E-06,-9.70E-06,5.54E-05,0,,,,
-3.16E-07,-2.25E-07,-5.28E-05,-2.73E-06,-2.41E-06,-9.75E-06,-9.52E-06,-6.04E-05,-7.64E-06,,,,
-3.55E-07,-4.38E-07,-6.55E-05,-2.60E-06,-2.25E-06,-9.95E-06,-9.51E-06,-8.80E-05,-2.25E-05,,,,
3.45E-07,-1.36E-07,0.000108392,-2.29E-06,-2.64E-06,-9.66E-06,-9.52E-06,0.000110708,2.32E-06,,,,
3.24E-07,2.70E-07,6.51E-05,-2.36E-06,-2.68E-06,-9.32E-06,-9.59E-06,2.25E-05,-4.26E-05,,,,
5.79E-07,8.00E-07,6.04E-05,-1.93E-06,-2.51E-06,-9.54E-06,-1.03E-05,5.03E-05,-1.02E-05,,,,
5.64E-07,-3.42E-08,2.52E-05,-2.23E-06,-2.79E-06,-9.89E-06,-9.86E-06,-9.96E-06,-3.52E-05,,,,
-6.01E-07,1.53E-07,2.55E-06,-2.52E-06,-1.92E-06,-9.98E-06,-1.01E-05,6.79E-05,6.53E-05,,,,
6.69E-07,2.57E-07,-6.81E-05,-2.06E-06,-2.72E-06,-9.63E-06,-9.88E-06,-5.05E-05,1.76E-05,,,,
1.58E-07,1.37E-07,9.80E-05,-2.44E-06,-2.59E-06,-9.78E-06,-9.92E-06,3.01E-05,-6.79E-05,,,,
-4.94E-07,4.97E-07,-3.06E-05,-2.79E-06,-2.29E-06,-1.01E-05,-1.06E-05,-5.33E-05,-2.27E-05,,,,
-4.78E-08,-1.26E-07,-6.81E-05,-2.63E-06,-2.58E-06,-1.01E-05,-9.94E-06,-1.02E-05,5.79E-05,,,,
1.16E-07,-4.32E-07,6.04E-05,-2.42E-06,-2.54E-06,-1.03E-05,-9.87E-06,3.52E-05,-2.52E-05,,,,
8.71E-07,1.00E-07,4.84E-05,-1.86E-06,-2.73E-06,-9.88E-06,-9.98E-06,6.58E-05,1.74E-05,,,,
-2.57E-07,-2.18E-07,7.55E-05,-2.22E-06,-1.96E-06,-1.04E-05,-1.01E-05,8.06E-05,5.10E-06,,,,
3.77E-07,4.73E-07,-2.73E-05,-1.98E-06,-2.36E-06,-9.88E-06,-1.04E-05,-2.01E-05,7.18E-06,,,,
7.40E-07,5.79E-07,7.34E-05,-1.91E-06,-2.65E-06,-1.00E-05,-1.06E-05,7.64E-06,-6.58E-05,,,,
3.70E-07,7.47E-08,-2.48E-05,-2.65E-06,-3.02E-06,-1.01E-05,-1.02E-05,5.30E-05,7.78E-05,,,,
-3.33E-07,-8.48E-08,7.30E-05,-2.47E-06,-2.13E-06,-1.03E-05,-1.02E-05,-3.54E-05,-0.000108392,,,,
1.15E-07,-5.57E-07,7.09E-05,-2.15E-06,-2.27E-06,-1.09E-05,-1.04E-05,1.27E-05,-5.81E-05,,,,
7.97E-07,2.89E-07,-9.54E-05,-1.89E-06,-2.69E-06,-1.02E-05,-1.05E-05,-7.55E-05,1.99E-05,,,,
-3.35E-07,-2.84E-07,-8.82E-05,-2.69E-06,-2.35E-06,-1.08E-05,-1.05E-05,-6.30E-05,2.52E-05,,,,
1.14E-07,1.11E-07,7.04E-05,-2.28E-06,-2.39E-06,-1.03E-05,-1.04E-05,6.02E-05,-1.02E-05,,,,
3.16E-07,-1.09E-07,0.000120668,-2.22E-06,-2.54E-06,-1.06E-05,-1.05E-05,8.55E-05,-3.52E-05,,,,
4.36E-07,-2.15E-07,-5.07E-05,-2.07E-06,-2.51E-06,-1.09E-05,-1.07E-05,-2.01E-05,3.06E-05,,,,
4.98E-07,1.41E-08,5.56E-05,-2.05E-06,-2.54E-06,-1.06E-05,-1.06E-05,1.51E-05,-4.05E-05,,,,
-3.48E-07,7.65E-07,-7.64E-06,-2.07E-06,-1.73E-06,-1.02E-05,-1.10E-05,-5.28E-05,-4.52E-05,,,,
-5.59E-08,-2.15E-07,-0.000161431,-2.27E-06,-2.21E-06,-1.07E-05,-1.05E-05,-5.05E-05,0.00011094,,,,
6.43E-07,2.59E-07,-2.29E-05,-1.95E-06,-2.59E-06,-1.05E-05,-1.08E-05,0.000110708,0.000133638,,,,
-1.20E-07,-2.80E-08,-2.55E-06,-2.39E-06,-2.27E-06,-1.08E-05,-1.08E-05,5.03E-05,5.28E-05,,,,
-1.33E-07,-2.52E-07,0.000125763,-2.20E-06,-2.07E-06,-1.05E-05,-1.03E-05,7.06E-05,-5.51E-05,,,,
-1.00E-07,3.75E-07,-7.09E-05,-2.50E-06,-2.40E-06,-1.02E-05,-1.06E-05,-5.33E-06,6.55E-05,,,,
,,,,,,,,,,,,
DMM2 at voltage range of 1V from here -,,,,,,,,,,,,
diff1, diff2, diff3, r11, r12, r21, r22, r31, r32,,,,
2.01E-07,-2.13E-07,4.28E-05,-2.03E-06,-2.23E-06,-1.08E-05,-1.06E-05,7.30E-05,3.01E-05,Average,0.0000%,0.0000%,0.0014%
-1.47E-07,1.50E-07,5.56E-05,-2.36E-06,-2.21E-06,-1.09E-05,-1.10E-05,0.000113488,5.79E-05,Max,0.0001%,0.0001%,0.0181%
7.85E-09,-5.55E-07,-3.27E-05,-2.15E-06,-2.16E-06,-1.12E-05,-1.07E-05,-5.10E-06,2.76E-05,Min,-0.0001%,-0.0001%,-0.0078%
-2.64E-07,7.60E-07,-3.01E-05,-2.06E-06,-1.80E-06,-1.06E-05,-1.13E-05,-2.29E-05,7.18E-06,Spread,0.0002%,0.0003%,0.0260%
1.31E-07,-5.06E-07,3.06E-05,-2.25E-06,-2.38E-06,-1.13E-05,-1.08E-05,-2.32E-06,-3.29E-05,,,,
3.78E-07,-6.08E-07,-7.81E-05,-2.14E-06,-2.52E-06,-1.15E-05,-1.09E-05,-2.52E-05,5.28E-05,,,,
5.29E-07,-2.80E-07,8.29E-05,-2.10E-06,-2.63E-06,-1.08E-05,-1.05E-05,1.76E-05,-6.53E-05,,,,
