Test started at 2026-07-29 06:35:07.374309

Running at a PLC of 1
DMM2 at voltage range of 0.1V from here -
diff1, diff2, diff3, r11, r12, r21, r22, r31, r32
2.1471819999999978e-08 , -1.2413806000000021e-07 , 4.539510510000001e-05 , 2.84005218e-06 , 2.81858036e-06 , -2.89609242e-06 , -2.77195436e-06 , -3.28882905e-05 , -7.82833956e-05
6.002870000000062e-09 , 1.428628000000001e-07 , 4.02997362e-05 , 2.88922957e-06 , 2.8832267e-06 , -3.17349591e-06 , -3.31635871e-06 , 9.31062871e-05 , 5.28065509e-05
1.1243846000000015e-07 , 2.5428699999998444e-09 , 5.3269765999999956e-06 , 3.11433736e-06 , 3.0018989e-06 , -3.10391387e-06 , -3.10645674e-06 , -5.51226277e-05 , -6.04496043e-05
2.539677999999997e-08 , 5.712200200000003e-07 , -7.179838061e-06 , 2.97788741e-06 , 2.95249063e-06 , -2.49223918e-06 , -3.0634592e-06 , -7.41144574e-06 , -2.31607679e-07
9.987859299999996e-07 , -2.6468915999999983e-07 , 8.31471569e-05 , 2.98042708e-06 , 1.98164115e-06 , -3.30248853e-06 , -3.03779937e-06 , 3.01089983e-05 , -5.30381586e-05
1.5053362000000007e-07 , 3.929879999999627e-09 , 3.543597492e-05 , 2.68074513e-06 , 2.53021151e-06 , -2.99225897e-06 , -2.99618885e-06 , 3.01089983e-05 , -5.32697662e-06
5.5480411e-07 , 3.0398799000000024e-07 , -5.53542354e-05 , 3.09540521e-06 , 2.5406011e-06 , -3.14298153e-06 , -3.44696952e-06 , -1.50544992e-05 , 4.02997362e-05
-2.348047400000001e-07 , -1.3870169999999986e-08 , 3.0572213659999996e-05 , 2.77078824e-06 , 3.00559298e-06 , -2.76686863e-06 , -2.75299846e-06 , 3.56675826e-05 , 5.09536894e-06
-8.510228700000001e-07 , 4.898483199999999e-07 , 6.577658089999999e-05 , 2.57061547e-06 , 3.42163834e-06 , -2.98093166e-06 , -3.47077998e-06 , 4.30790283e-05 , -2.26975526e-05
3.731017200000002e-07 , -8.368338e-08 , -4.28474206e-05 , 3.39139309e-06 , 3.01829137e-06 , -3.23290649e-06 , -3.14922311e-06 , -2.5245237e-05 , 1.76021836e-05
4.1558359999999884e-08 , 1.1142373000000022e-07 , 7.31880267e-05 , 3.10048457e-06 , 3.05892621e-06 , -3.16956603e-06 , -3.28098976e-06 , 4.02997362e-05 , -3.28882905e-05
-1.6392470000000387e-08 , -1.5049138999999998e-07 , 0.0001032970249 , 3.03237503e-06 , 3.0487675e-06 , -3.21741813e-06 , -3.06692674e-06 , 2.77929215e-05 , -7.55041034e-05
-1.1497812999999982e-07 , -9.755355999999981e-08 , 7.06403422e-05 , 2.64034117e-06 , 2.7553193e-06 , -3.29994567e-06 , -3.20239211e-06 , 4.02997362e-05 , -3.0340606e-05
-1.5676737000000035e-07 , 2.138318500000001e-07 , -2.0381475800000006e-05 , 3.12957542e-06 , 3.28634279e-06 , -2.98601739e-06 , -3.19984924e-06 , -6.57765809e-05 , -4.53951051e-05
-1.5145714000000012e-07 , 1.3870200000000306e-09 , -4.2615812940999996e-05 , 3.34844945e-06 , 3.49990659e-06 , -3.23267532e-06 , -3.23406234e-06 , -4.30790283e-05 , -4.63215359e-07
-1.4776305999999992e-07 , -5.5203294e-07 , -7.01771268e-05 , 2.72137997e-06 , 2.86914303e-06 , -3.11524118e-06 , -2.56320824e-06 , -1.48228915e-05 , 5.53542353e-05
2.4011499999999897e-08 , -1.4702384999999994e-07 , 0.0001357221 , 2.71376094e-06 , 2.68974944e-06 , -2.90741973e-06 , -2.76039588e-06 , 6.786105e-05 , -6.786105e-05
9.378336699999997e-07 , -1.923330899999998e-07 , -1.7833791300000002e-05 , 3.59849226e-06 , 2.66065859e-06 , -3.01999932e-06 , -2.82766623e-06 , -3.79836594e-05 , -2.01498681e-05
-2.966805200000001e-07 , 2.556735499999999e-07 , -9.102181799999999e-05 , 2.82643027e-06 , 3.12311079e-06 , -3.11385416e-06 , -3.36952771e-06 , -6.29972888e-05 , 2.80245292e-05
-5.298691000000004e-07 , 2.5197483000000026e-07 , 0.0001662943134 , 2.86914303e-06 , 3.39901213e-06 , -2.87320664e-06 , -3.12518147e-06 , 0.000116035447 , -5.02588664e-05
-4.2251000000000004e-07 , -1.1003672000000001e-07 , -0.0001584196529 , 2.63641621e-06 , 3.05892621e-06 , -3.4455825e-06 , -3.33554578e-06 , -0.000110708471 , 4.77111819e-05
3.627121300000001e-07 , -4.5771579999999874e-08 , 2.24659449e-05 , 3.5934129e-06 , 3.23070077e-06 , -3.25070655e-06 , -3.20493497e-06 , 4.02997362e-05 , 1.78337913e-05
-5.855111199999998e-07 , 1.7337718000000013e-07 , -5.81335275e-05 , 2.47964884e-06 , 3.06515996e-06 , -3.21510644e-06 , -3.38848362e-06 , -2.77929215e-05 , 3.0340606e-05
-8.681078999999971e-08 , -4.808326999999968e-08 , 2.5245237e-05 , 2.81119221e-06 , 2.898003e-06 , -3.14806726e-06 , -3.09998399e-06 , -3.26566828e-05 , -5.79019198e-05
7.889162099999999e-07 , 6.290124099999997e-07 , -6.0449604300000004e-05 , 3.42302362e-06 , 2.63410741e-06 , -2.47721316e-06 , -3.10622557e-06 , -4.28474207e-05 , 1.76021836e-05
1.5930704999999985e-07 , 3.0745552999999985e-07 , -7.179837999999999e-06 , 2.85667552e-06 , 2.69736847e-06 , -2.75947121e-06 , -3.06692674e-06 , 1.01907379e-05 , 1.73705759e-05
2.424238000000012e-08 , 4.734352899999999e-07 , -9.84332637e-05 , 2.88068702e-06 , 2.85644464e-06 , -2.85818061e-06 , -3.3316159e-06 , -3.54359749e-05 , 6.29972888e-05
3.188449799999999e-07 , 2.034291999999988e-08 , 4.56267129e-05 , 3.23855068e-06 , 2.9197057e-06 , -2.92521979e-06 , -2.94556271e-06 , -3.52043672e-05 , -8.08310801e-05
-8.080792000000007e-08 , -4.6557551999999997e-07 , 8.291554910000001e-05 , 3.14365909e-06 , 3.22446701e-06 , -3.08703849e-06 , -2.62146297e-06 , 5.53542353e-05 , -2.75613138e-05
-1.3529555999999978e-07 , 4.322871000000003e-08 , -0.0001431335456 , 2.91716602e-06 , 3.05246158e-06 , -3.09605411e-06 , -3.13928282e-06 , -2.98773906e-05 , 0.000113256155
4.5367876999999985e-07 , -6.334046999999994e-08 , -9.820165596999999e-05 , 3.27364441e-06 , 2.81996564e-06 , -3.07848522e-06 , -3.01514475e-06 , -9.56539715e-05 , 2.54768447e-06
-3.7933547999999986e-07 , 1.7337718000000013e-07 , -3.2425075100000006e-05 , 2.61886935e-06 , 2.99820483e-06 , -2.8833781e-06 , -3.05675528e-06 , 5.30381586e-05 , 8.54632337e-05
-5.9313016e-07 , 8.6318719e-07 , -4.79427896e-05 , 2.55953324e-06 , 3.1526634e-06 , -2.47074041e-06 , -3.3339276e-06 , 2.01498681e-05 , 6.80926577e-05
1.907067000000003e-07 , 3.7842459999999993e-07 , -6.0449604260000005e-05 , 2.60478568e-06 , 2.41407898e-06 , -2.84176757e-06 , -3.22019217e-06 , -5.5585843e-05 , 4.86376126e-06
-9.858565999999986e-08 , -1.1142373999999962e-07 , 0.0001183515241 , 2.61886935e-06 , 2.71745501e-06 , -2.87320664e-06 , -2.7617829e-06 , 4.28474207e-05 , -7.55041034e-05
4.0288522000000016e-07 , 9.477951999999975e-08 , -8.31471569e-05 , 2.93471289e-06 , 2.53182767e-06 , -3.09512943e-06 , -3.18990895e-06 , -5.02588664e-05 , 3.28882905e-05
-5.725818600000001e-07 , 2.3024490000000017e-07 , 0.0001030654173 , 2.38498813e-06 , 2.95756999e-06 , -3.22666491e-06 , -3.45690981e-06 , 7.80517879e-05 , -2.50136294e-05
4.3844069999999973e-07 , -1.9256424999999977e-07 , -0.0002012670731 , 2.86660335e-06 , 2.42816265e-06 , -3.32537432e-06 , -3.13281007e-06 , -8.80109181e-05 , 0.000113256155
2.4011499999999897e-08 , 8.599508000000005e-08 , 2.29291603e-05 , 2.98804612e-06 , 2.96403462e-06 , -2.93793412e-06 , -3.0239292e-06 , -1.76021836e-05 , -4.05313439e-05
-3.400859200000001e-07 , 1.5349659e-07 , 8.80109181e-05 , 2.517744e-06 , 2.85782992e-06 , -2.95920172e-06 , -3.11269831e-06 , 3.77520517e-05 , -5.02588664e-05
3.3616096999999993e-07 , 2.0134869999999972e-07 , 7.017712689999999e-05 , 3.13719446e-06 , 2.80103349e-06 , -2.97723294e-06 , -3.17858164e-06 , 3.72888364e-05 , -3.28882905e-05
-1.4014402000000017e-07 , 3.8882722999999987e-07 , 7.31880266e-05 , 2.54568046e-06 , 2.68582448e-06 , -2.70607103e-06 , -3.09489826e-06 , 2.77929215e-05 , -4.53951051e-05
-9.743126999999984e-08 , 1.0379513999999991e-07 , 6.29972888e-05 , 2.78441015e-06 , 2.88184142e-06 , -3.10252685e-06 , -3.20632199e-06 , 2.26975526e-05 , -4.02997362e-05
-3.1976849999999997e-07 , 3.6178038000000006e-07 , 3.56675826e-05 , 2.58100506e-06 , 2.90077356e-06 , -2.98763558e-06 , -3.34941596e-06 , 8.56948413e-05 , 5.00272587e-05
-2.1725786999999987e-07 , 1.7083431000000028e-07 , 4.02997362e-05 , 2.86798863e-06 , 3.0852465e-06 , -2.93169254e-06 , -3.10252685e-06 , 2.5245237e-05 , -1.50544992e-05
7.990749200000002e-07 , -1.4193812000000007e-07 , 4.30790284e-05 , 3.12080199e-06 , 2.32172707e-06 , -3.28491965e-06 , -3.14298153e-06 , 1.27384224e-05 , -3.0340606e-05
-4.855401799999999e-07 , -1.9233307999999998e-07 , 9.959130200000003e-06 , 2.51012497e-06 , 2.99566515e-06 , -3.02138633e-06 , -2.82905325e-06 , 7.04087345e-05 , 6.04496043e-05
-8.219320199999998e-07 , 5.917940999999985e-08 , -7.04087345e-05 , 2.33442546e-06 , 3.15635748e-06 , -2.81402723e-06 , -2.87320664e-06 , -1.50544992e-05 , 5.53542353e-05
