Test started at 2026-07-29 09:05:53.949911,,,,,,,,,,,,,,,,,,
Input voltage = 0.005,,,,,,,,,,,,,,,,,,
Running at a PLC of 1,,,,,,,,,,,,,,,,,,
GE1, GE2, GE3, ratio12, ratio13, ratio23, diff1, diff2, diff3, r11, r12, r21, r22, r31, r32,,,,
0.001185162,0.00118325,-1.91E-06,1.001185162,1.00118325,0.999998091,0.009800864,0.009789262,0.009789281,0.004953854,-0.00484701,0.004952439,-0.004836823,0.004949427,-0.004839853,Average,0.02%,0.02%,0.00%
8.55E-05,8.04E-05,-5.14E-06,1.000085525,1.000080389,0.999994864,0.009788613,0.009787775,0.009787826,0.004948119,-0.004840493,0.004946517,-0.004841259,0.004943391,-0.004844434,Max,0.18%,0.17%,0.13%
-0.000501751,-2.74E-05,0.000474542,0.999498249,0.999972553,1.000474542,0.009786743,0.009791656,0.009787011,0.004948079,-0.004838664,0.004951441,-0.004840215,0.004943318,-0.004843693,Min,-0.14%,-0.10%,-0.13%
0.001547188,0.00155393,6.73E-06,1.001547188,1.00155393,1.000006731,0.009810202,0.009795047,0.009794981,0.004955533,-0.004854668,0.004951002,-0.004844045,0.004947708,-0.004847273,Spread,0.32%,0.28%,0.26%
-8.05E-05,-5.46E-05,2.58E-05,0.999919504,0.999945351,1.000025848,0.009791548,0.009792337,0.009792084,0.004951517,-0.004840032,0.004950414,-0.004841922,0.00494837,-0.004843713,,,,
0.001012522,0.001035944,2.34E-05,1.001012522,1.001035944,1.000023398,0.009801812,0.009791897,0.009791668,0.004947912,-0.0048539,0.004946795,-0.004845102,0.00494375,-0.004847919,,,,
-0.001166568,1.52E-05,0.001183192,0.998833432,1.000015244,1.001183192,0.009780386,0.009791809,0.009780237,0.004943895,-0.004836491,0.004942614,-0.004849195,0.0049403,-0.004839937,,,,
-3.48E-05,-4.10E-07,3.44E-05,0.999965207,0.99999959,1.000034384,0.009788711,0.009789052,0.009788715,0.004949562,-0.004839149,0.004948413,-0.004840639,0.004945711,-0.004843005,,,,
-4.84E-05,6.76E-06,5.51E-05,0.999951645,1.000006763,1.000055121,0.009788582,0.009789056,0.009788516,0.00494771,-0.004840873,0.004946902,-0.004842154,0.004944228,-0.004844288,,,,
0.001774501,0.001722625,-5.18E-05,1.001774501,1.001722625,0.999948216,0.009799764,0.009782405,0.009782912,0.004950715,-0.004849049,0.004942946,-0.004839459,0.004940129,-0.004842783,,,,
0.000211844,0.000224545,1.27E-05,1.000211844,1.000224545,1.000012698,0.009794093,0.009792019,0.009791895,0.004950226,-0.004843868,0.004946404,-0.004845615,0.004943976,-0.004847919,,,,
-1.31E-05,-0.000111596,-9.85E-05,0.999986922,0.999888404,0.999901481,0.009791019,0.009791147,0.009792111,0.004944736,-0.004846282,0.004943534,-0.004847612,0.004940897,-0.004851214,,,,
0.000207717,0.000262008,5.43E-05,1.000207717,1.000262008,1.000054279,0.009799115,0.00979708,0.009796549,0.004945401,-0.004853714,0.00494219,-0.00485489,0.00493941,-0.004857139,,,,
-9.20E-05,-0.000114265,-2.22E-05,0.999907956,0.999885735,0.999977777,0.009789614,0.009790515,0.009790733,0.004945238,-0.004844376,0.004944602,-0.004845913,0.004941609,-0.004849124,,,,
0.000270417,0.000192303,-7.81E-05,1.000270417,1.000192303,0.999921907,0.009792669,0.009790021,0.009790786,0.004947757,-0.004844912,0.004943833,-0.004846188,0.004942007,-0.004848779,,,,
-9.59E-05,-4.97E-05,4.63E-05,0.999904051,0.99995031,1.000046263,0.009798661,0.009799602,0.009799148,0.004951006,-0.004847656,0.00495036,-0.004849242,0.004947682,-0.004851466,,,,
9.75E-05,0.000137786,4.03E-05,1.000097523,1.000137786,1.000040259,0.009792397,0.009791442,0.009791048,0.004946677,-0.00484572,0.004944606,-0.004846835,0.004942025,-0.004849023,,,,
-0.001377762,-7.21E-05,0.001307447,0.998622238,0.999927883,1.001307447,0.009791461,0.00980497,0.009792167,0.004948882,-0.004842579,0.004950944,-0.004854027,0.004945058,-0.00484711,,,,
2.28E-05,-7.60E-06,-3.04E-05,1.000022812,0.999992402,0.999969591,0.009787759,0.009787535,0.009787833,0.004949953,-0.004837806,0.004948466,-0.004839069,0.004946928,-0.004840905,,,,
-8.63E-05,-8.44E-05,1.93E-06,0.999913683,0.999915615,1.000001932,0.009788323,0.009789168,0.009789149,0.004949102,-0.004839222,0.004948123,-0.004841045,0.004945676,-0.004843474,,,,
-7.12E-05,1.06E-05,8.18E-05,0.999928795,1.000010559,1.00008177,0.009792417,0.009793114,0.009792313,0.004948176,-0.00484424,0.004947066,-0.004846048,0.004944339,-0.004847974,,,,
0.001557418,0.001539076,-1.83E-05,1.001557418,1.001539076,0.999981686,0.009807092,0.009791842,0.009792021,0.004953108,-0.004853983,0.004945023,-0.004846819,0.004943348,-0.004848673,,,,
3.42E-05,-0.001032443,-0.001066594,1.000034187,0.998967557,0.998933406,0.009794108,0.009793774,0.009804231,0.004947591,-0.004846518,0.00494649,-0.004847283,0.004944135,-0.004860096,,,,
9.23E-05,-8.66E-05,-0.000178952,1.000092349,0.999913381,0.999821048,0.009787774,0.009786871,0.009788622,0.004944308,-0.004843467,0.004943029,-0.004843841,0.004941523,-0.004847099,,,,
-0.000104921,-1.81E-05,8.68E-05,0.999895079,0.999981852,1.000086782,0.009789507,0.009790534,0.009789684,0.004948955,-0.004840552,0.004947817,-0.004842717,0.004945451,-0.004844233,,,,
3.44E-05,-7.28E-05,-0.000107233,1.000034428,0.999927191,0.999892767,0.009781879,0.009781542,0.009782591,0.004946146,-0.004835733,0.00494437,-0.004837173,0.004943454,-0.004839137,,,,
-4.59E-05,8.50E-06,5.44E-05,0.999954081,1.000008502,1.000054424,0.009785685,0.009786134,0.009785601,0.004945325,-0.004840359,0.004944612,-0.004841522,0.004942771,-0.004842831,,,,
7.35E-05,-2.09E-05,-9.44E-05,1.000073488,0.999979075,0.999905594,0.009791851,0.009791131,0.009792056,0.004944538,-0.004847313,0.004943153,-0.004847978,0.004941439,-0.004850616,,,,
-2.88E-06,-1.72E-05,-1.44E-05,0.999997116,0.999982752,0.999985636,0.009794582,0.009794611,0.009794751,0.004946709,-0.004847874,0.004946041,-0.00484857,0.004943641,-0.004851111,,,,
5.85E-05,2.41E-05,-3.44E-05,1.000058517,1.000024108,0.999965593,0.009791171,0.009790598,0.009790934,0.004949805,-0.004841366,0.004947935,-0.004842663,0.004946301,-0.004844634,,,,
-4.16E-05,-6.06E-05,-1.90E-05,0.999958379,0.999939415,0.999981035,0.009792547,0.009792955,0.00979314,0.004952221,-0.004840326,0.004950626,-0.004842329,0.0049492,-0.00484394,,,,
-0.000238818,-4.34E-05,0.000195425,0.999761182,0.99995656,1.000195425,0.009785903,0.009788241,0.009786328,0.004948014,-0.004837889,0.004949315,-0.004838926,0.004945623,-0.004840706,,,,
0.000179594,-0.000970287,-0.001149674,1.000179594,0.999029713,0.998850326,0.009781333,0.009779577,0.009790833,0.004944385,-0.004836948,0.004941989,-0.004837588,0.004941278,-0.004849555,,,,
8.98E-05,5.46E-05,-3.51E-05,1.00008976,1.000054645,0.999964889,0.009782902,0.009782024,0.009782367,0.004947373,-0.004835528,0.004946099,-0.004835925,0.004944894,-0.004837473,,,,
-0.000114886,-3.17E-05,8.32E-05,0.999885114,0.99996829,1.000083186,0.009784649,0.009785773,0.009784959,0.004948507,-0.004836142,0.004947948,-0.004837825,0.004946046,-0.004838913,,,,
-9.68E-05,-0.000156825,-6.00E-05,0.999903178,0.999843175,0.999939992,0.009785108,0.009786056,0.009786643,0.004949341,-0.004835767,0.004948152,-0.004837903,0.004946497,-0.004840146,,,,
0.000353159,-0.00097481,-0.0013275,1.000353159,0.99902519,0.9986725,0.009791107,0.009787651,0.009800661,0.004953421,-0.004837687,0.004948993,-0.004838658,0.004947685,-0.004852976,,,,
0.001317425,0.0012663,-5.11E-05,1.001317425,1.0012663,0.999948942,0.009800906,0.009788012,0.009788511,0.00494893,-0.004851977,0.004947118,-0.004840893,0.004946467,-0.004842044,,,,
3.28E-05,-3.26E-05,-6.55E-05,1.000032812,0.999967356,0.999934546,0.009790196,0.009789875,0.009790515,0.004948828,-0.004841368,0.004947533,-0.004842341,0.00494653,-0.004843985,,,,
0.00078241,0.000866483,8.40E-05,1.00078241,1.000866483,1.000084007,0.009796425,0.009788766,0.009787944,0.004945499,-0.004850926,0.004944835,-0.004843931,0.004943542,-0.004844401,,,,
,,,,,,,,,,,,,,,,,,
Input voltage = 0.005,,,,,,,,,,,,,,,,,,
Running at a PLC of 10,,,,,,,,,,,,,,,,,,
GE1, GE2, GE3, ratio12, ratio13, ratio23, diff1, diff2, diff3, r11, r12, r21, r22, r31, r32,,,,
-5.48E-06,4.61E-05,5.16E-05,0.999994521,1.000046132,1.000051611,0.009821282,0.009821336,0.009820829,0.004961082,-0.0048602,0.004960275,-0.004861061,0.004958377,-0.004862451,Average,0.01%,0.01%,0.00%
-4.71E-05,2.15E-06,4.93E-05,0.999952902,1.000002152,1.000049252,0.009815755,0.009816218,0.009815734,0.004955741,-0.004860014,0.004955282,-0.004860936,0.004953626,-0.004862108,Max,0.04%,0.04%,0.02%
0.000176917,0.000175979,-9.37E-07,1.000176917,1.000175979,0.999999063,0.009816807,0.00981507,0.00981508,0.004959178,-0.004857629,0.004958495,-0.004856575,0.004956941,-0.004858139,Min,-0.02%,-0.01%,0.00%
4.67E-05,7.00E-05,2.32E-05,1.000046743,1.000069972,1.000023228,0.009818251,0.009817792,0.009817564,0.004962035,-0.004856216,0.00496088,-0.004856912,0.004959506,-0.004858058,Spread,0.07%,0.05%,0.02%
0.000108865,0.000129828,2.10E-05,1.000108865,1.000129828,1.000020961,0.009816531,0.009815462,0.009815257,0.00496026,-0.004856271,0.004959582,-0.00485588,0.004958233,-0.004857024,,,,
0.000298723,0.000274646,-2.41E-05,1.000298723,1.000274646,0.99997593,0.009824436,0.009821502,0.009821739,0.004958991,-0.004865445,0.00495773,-0.004863773,0.004956488,-0.004865251,,,,
0.000228166,0.000243006,1.48E-05,1.000228166,1.000243006,1.000014837,0.009817994,0.009815754,0.009815608,0.00495475,-0.004863244,0.004953538,-0.004862216,0.004952184,-0.004863424,,,,
6.47E-05,6.81E-05,3.36E-06,1.000064744,1.000068106,1.000003362,0.009814485,0.00981385,0.009813817,0.004955964,-0.004858521,0.004954676,-0.004859174,0.004953288,-0.004860529,,,,
-0.000224855,-4.96E-05,0.000175299,0.999775145,0.999950405,1.000175299,0.009809898,0.009812104,0.009810385,0.004953619,-0.004856279,0.004953171,-0.004858933,0.004951947,-0.004858437,,,,
0.000133981,0.000127282,-6.70E-06,1.000133981,1.000127282,0.999993303,0.009823261,0.009821945,0.009822011,0.004963851,-0.00485941,0.004963453,-0.004858493,0.004962084,-0.004859928,,,,
0.000249794,0.000266568,1.68E-05,1.000249794,1.000266568,1.00001677,0.009822593,0.00982014,0.009819976,0.00496268,-0.004859914,0.004961438,-0.004858703,0.004959983,-0.004859992,,,,
4.51E-06,3.08E-05,2.63E-05,1.000004511,1.000030805,1.000026294,0.009817933,0.009817889,0.009817631,0.004962953,-0.00485498,0.004962506,-0.004855383,0.004960982,-0.004856649,,,,
1.47E-05,-1.85E-05,-3.32E-05,1.000014689,0.999981533,0.999966844,0.009820878,0.009820733,0.009821059,0.004963518,-0.004857359,0.004963139,-0.004857594,0.004961862,-0.004859196,,,,
